latitude,longitude,altitude,geometry,coordinates,@id,area,public_transport,railway,ref,name,train,amenity,barrier,surface,departures_board,subway,lit,shelter,layer,level,tactile_paving,to,network,operator
28.6625254,77.2254565,,Polygon,"77.2254565,28.6625254,77.2270004,28.6624631,77.2273288,28.6624498,77.2284724,28.6624036,77.2285183,28.6623994,77.2289012,28.6623805,77.2299724,28.6623276,77.2299755,28.6623602,77.2299153,28.6624036,77.2290582,28.6624638,77.2284771,28.6624918,77.2254612,28.6626137,77.2254565,28.6625254",way/77614267,,,platform,,,,,,,,,,,,,,,,
28.6617652,77.224782,,Polygon,"77.224782,28.6617652,77.224261,28.6617441,77.223971,28.6617187,77.2242596,28.6616957,77.2247801,28.6616739,77.2269496,28.6615696,77.2272964,28.661553,77.2285097,28.6614947,77.2288093,28.6614803,77.2310061,28.6613747,77.2312729,28.66136,77.2316134,28.661361,77.2312842,28.6614324,77.2310132,28.6614724,77.2288103,28.6615759,77.2285107,28.66159,77.227302,28.6616468,77.2269607,28.6616628,77.224782,28.6617652",way/77614268,yes,platform,platform,,,yes,,,,,,,,,,,,,
28.6609372,77.2269253,,Polygon,"77.2269253,28.6609372,77.2254899,28.6609898,77.2251082,28.6610022,77.2248692,28.6610184,77.2246006,28.6610605,77.2227061,28.6614654,77.2221631,28.6615815,77.2218548,28.6616622,77.2215791,28.6617639,77.2209484,28.6621141,77.2209336,28.6620857,77.2215597,28.6617265,77.2218426,28.6616198,77.2221592,28.6615205,77.2226925,28.6614001,77.2247126,28.6609818,77.2249763,28.6609406,77.2257227,28.6609131,77.226277,28.6609171,77.2269253,28.6608893,77.2269253,28.6609372",way/77614274,yes,platform,platform,1,,yes,,,,,,,,,,,,,
28.6612549,77.2316277,,Polygon,"77.2316277,28.6612549,77.2288054,28.6613951,77.2285176,28.6614094,77.2272885,28.6614705,77.2269463,28.6614875,77.2245393,28.6616071,77.2243244,28.6616182,77.2243202,28.6615264,77.2245351,28.6615178,77.2269425,28.6613998,77.2272851,28.661383,77.2285131,28.6613229,77.2287998,28.6613088,77.2316207,28.6611706,77.2316277,28.6612549",way/77614280,yes,platform,platform,,,yes,,,,,,,,,,,,,
28.6613843,77.2246242,,Polygon,"77.2246242,28.6613843,77.2246229,28.6613434,77.2249637,28.6612863,77.2252747,28.6612603,77.2269205,28.6611782,77.2272798,28.6611603,77.2273223,28.6611582,77.2285026,28.6610989,77.2287836,28.6610848,77.2311134,28.6609677,77.2316722,28.6609826,77.2316756,28.6610392,77.2311242,28.6610591,77.2287873,28.6611713,77.2285056,28.6611848,77.2273456,28.6612405,77.2272784,28.661244,77.2269284,28.6612622,77.2252847,28.6613476,77.2246242,28.6613843",way/77614290,yes,platform,platform,4;5,,yes,,,,,,,,,,,,,
28.6623153,77.2208821,,Polygon,"77.2208821,28.6623153,77.2208581,28.6622726,77.2212214,28.6620654,77.221623,28.6618594,77.2218944,28.6617503,77.2222012,28.6616659,77.2227358,28.6615529,77.2246077,28.6611572,77.2248692,28.6611216,77.2251114,28.6610983,77.2254843,28.6610797,77.226954,28.6610211,77.2270494,28.6610431,77.2283889,28.6609706,77.228388,28.6609532,77.2284058,28.6609525,77.2292975,28.6609153,77.2292975,28.6608905,77.2296658,28.6608858,77.2305177,28.6608486,77.2308517,28.6608781,77.2308606,28.6608998,77.2303109,28.6609169,77.228412,28.6610151,77.2270426,28.6610859,77.2269476,28.6610936,77.2251343,28.6611805,77.2248675,28.6612038,77.224613,28.6612472,77.2227577,28.6616368,77.2221723,28.6617648,77.2218807,28.6618539,77.2215868,28.661976,77.2213085,28.6621176,77.2208821,28.6623153",way/77614304,yes,platform,platform,2;3,,yes,,,,,,,,,,,,,
28.661939,77.2253407,,Polygon,"77.2253407,28.661939,77.2251439,28.6619312,77.2246892,28.6618665,77.2251403,28.6618629,77.225333,28.6618597,77.2269574,28.6617858,77.2273047,28.66177,77.2285344,28.6617141,77.2288281,28.6617008,77.2300012,28.6616474,77.2300012,28.6616645,77.2296107,28.6617172,77.2292855,28.6617591,77.2288221,28.6617802,77.228537,28.6617932,77.227304,28.6618495,77.2269666,28.6618649,77.2253407,28.661939",way/77614320,yes,platform,platform,,,yes,,,,,,,,,,,,,
28.5921914,77.2538016,,Polygon,"77.2538016,28.5921914,77.2540121,28.5873759,77.2540516,28.5870277,77.2541535,28.5864259,77.2541964,28.5864342,77.2541776,28.5865414,77.2541153,28.5870271,77.2540859,28.5873759,77.2538766,28.5921914,77.2538016,28.5921914",way/77882515,yes,platform,platform,2;3,,yes,,,,,,,,,,,,,
28.5853397,77.2545446,,Polygon,"77.2545446,28.5853397,77.2545639,28.5853414,77.2545934,28.5857158,77.2546047,28.5860396,77.2544745,28.5895096,77.2544589,28.5898937,77.2544379,28.5900722,77.2543458,28.5903997,77.2543604,28.59012,77.2545446,28.5853397",way/77882517,yes,platform,platform,6;7,,yes,,,,,,,,,,,,,
28.5878489,77.2537209,,Polygon,"77.2537209,28.5878489,77.2537105,28.588265,77.2536852,28.5892819,77.2536306,28.5906838,77.2535789,28.5919067,77.253555,28.5919097,77.253612,28.590199,77.2536336,28.5892809,77.253671,28.5882643,77.2536895,28.5878541,77.2537209,28.5878489",way/77882519,yes,platform,platform,1,,yes,,,,,,,,,,,,,
