latitude,longitude,altitude,geometry,coordinates,@id,barrier,leisure,type,admin_level,boundary,name,wikidata,description,access,operator,layer,name:zh,old_name,addr:city,addr:postcode,addr:street,opening_hours,name:en,name:fa,name:es,wikipedia,addr:housenumber,natural,name:hi,name:de,name:ur,tourism,historic,int_name,designation,place,is_in,landuse,source,surface,man_made,opening_hours:covid19,religion,website,note,grass,grassland,amenity,building,addr:suburb,addr:neighbourhood,playground,water,fountain,addr:block,addr:city:en,alt_name,alt_name:hi,dog,addr:place,smoking,source:boundary,residential
,,,Polygon,"77.2763367,28.6552532,77.2762701,28.6553655,77.2760697,28.6558856,77.2747379,28.6552483,77.2750544,28.6547677,77.2763367,28.6552532",relation/9609457,,park,multipolygon,,,,,Big park/Ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MultiPolygon,"77.1882518,28.5916412,77.188211,28.5916703,77.1880232,28.5917457,77.1879454,28.5917198,77.1878703,28.591602,77.187696,28.5912817,77.1873983,28.5907165,77.1871193,28.5901395,77.1868672,28.5896614,77.1866446,28.5892916,77.1864622,28.5889619,77.1864568,28.5889195,77.1864809,28.5888559,77.1865071,28.5888002,77.1866007,28.5887543,77.1867137,28.5887496,77.1867825,28.5887715,77.1882518,28.5916412,77.1891345,28.5933652,77.1891633,28.5934197,77.1891186,28.5934779,77.1889174,28.5935344,77.1888584,28.5935203,77.1887699,28.5933766,77.1884105,28.5926866,77.1880055,28.5919494,77.1880269,28.5918458,77.1882522,28.5917563,77.1883045,28.5917442,77.1891345,28.5933652,77.1904529,28.5965328,77.190398,28.5965088,77.1903739,28.5964759,77.1903256,28.5963746,77.1900654,28.5958895,77.189765,28.5953031,77.1894404,28.5946719,77.1892071,28.5942268,77.1889147,28.5937016,77.1889576,28.5936239,77.1890542,28.5935768,77.1891615,28.5935438,77.1892222,28.5935315,77.1907411,28.5964109,77.1906499,28.5964897,77.1905451,28.5965197,77.1904529,28.5965328,77.1884344,28.5938677,77.1884588,28.5938194,77.1886304,28.5937511,77.1886894,28.593744,77.1887458,28.5937605,77.1887699,28.5938029,77.188955,28.5941797,77.1891883,28.5946649,77.1894726,28.5952065,77.1897248,28.5956799,77.1900305,28.5962592,77.1901673,28.5965348,77.1901834,28.5965983,77.1901646,28.5966548,77.1899641,28.5967396,77.1884344,28.5938677,77.1874862,28.5920877,77.187579,28.5920366,77.1877614,28.5919683,77.1878472,28.5920036,77.1879035,28.5921096,77.1881691,28.5926301,77.1882281,28.5927502,77.1884668,28.5932259,77.1886626,28.5936169,77.1885875,28.5936781,77.1884695,28.5937252,77.1883716,28.5937498,77.1874862,28.5920877,77.186172,28.5889545,77.1862273,28.588964,77.1862783,28.5889876,77.1863963,28.5892207,77.1865573,28.5895528,77.1868603,28.5900969,77.1872359,28.5908105,77.1876248,28.5915712,77.1877508,28.5918043,77.1877213,28.5918938,77.1875497,28.5919574,77.187443,28.5920065,77.1859375,28.58918,77.1859674,28.5890559,77.1860706,28.5889702,77.186172,28.5889545",relation/9730409,,park,multipolygon,,,Shanti Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.1729268,28.646417,77.1722001,28.6455044,77.1742379,28.6442612,77.1749503,28.6451953,77.1738445,28.645869,77.1729268,28.646417",way/24676525,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.1865943,28.5393623,77.1861823,28.5385103,77.1867231,28.5383067,77.1871179,28.539204,77.1865943,28.5393623",way/31565501,,park,,,,Football field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.1851752,28.539451,77.1848561,28.5387827,77.185267,28.5386517,77.1854412,28.5390952,77.1851752,28.539451",way/31658481,,park,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.1449607,28.5321525,77.1478986,28.5360866,77.1470845,28.5365562,77.1455633,28.5345207,77.1449295,28.5336726,77.1447933,28.5334857,77.1453405,28.5331405,77.1447034,28.5323179,77.1449607,28.5321525",way/38170389,wall,park,,,,Vasant Vatika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.1757227,28.5540722,77.1754716,28.5538372,77.175818,28.553513,77.1760595,28.5537545,77.1757227,28.5540722",way/42340191,,park,,,,B Block Community Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.1749189,28.5533527,77.1753521,28.5529321,77.1754437,28.5530091,77.1750064,28.5534256,77.1749189,28.5533527",way/42340193,,park,,,,BC-BD Block Community Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.1762284,28.554459,77.1766616,28.5540384,77.1767532,28.5541154,77.1763159,28.5545319,77.1762284,28.554459",way/42340196,,park,,,,BA-BB Block Community Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2478027,28.5560079,77.2474805,28.5560499,77.2469676,28.5557016,77.2466568,28.5553503,77.2465813,28.5549703,77.2468217,28.5548798,77.2469762,28.55491,77.2470963,28.5543672,77.2475598,28.5543822,77.2478906,28.5543826,77.2478889,28.5545365,77.2478027,28.5560079",way/42360403,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
