latitude,longitude,altitude,geometry,coordinates,@id,amenity,building,type,name,shop,brand,brand:wikidata,cuisine,takeaway,website,addr:city,addr:housenumber,addr:postcode,addr:street,air_conditioning,bar,opening_hours,phone,smoking,wikidata,wikipedia,internet_access,alt_name,capacity,note,landuse,addr:suburb,outdoor_seating,addr:unit,delivery,wheelchair,check_date,tourism,diet:vegetarian,created_by,indoor_seating,addr:place,operator,name:fa,disused,cmt,description,ele,source,sym,addr:housename,name:ru,level,short_name,man_made,name:es,name:en,addr:country,official_name,wifi,contact:phone,start_date,name:fr,toilets,toilets:access,parking,popular name,email,food,diet:vegan,internet_access:fee,name:ca,name:hi,brand:wikipedia,name:ko,fixme,name:kn,name:de,name:ar,addr:hamlet,drive_through,phone_1,access,building:levels,source:height,name:ja,drink:coffee,drink:tea,seats,tables,addr:subdistrict,payment:cash,payment:debit_cards,payment:paytm,sport,alcohol,drink:beer,drink:vodka,drink:wine,self_service,drink:sake,branch,name:he,name:bn,addr:block,contact:email,contact:facebook,contact:instagram,contact:website,drink:shake,addr:district,instagram,indoor,diet:lacto_vegetarian,drink:hot_chocolate,opening_hours:covid19,diet:non-vegetarian,reservation,amenity_1,organic,addr:full
28.6428339,77.186576,,Point,,node/1157202196,cafe,,,Bon Temps Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6410357,77.2125335,,Point,,node/1184509690,cafe,,,Internet,,,,,,,,,,,,,,,,,,terminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.7496454,77.1167453,,Point,,node/1267705129,cafe,,,Nescafe,,,,,,,"Shahbad Daulatpur, Delhi",,110042,DCE College,,,,,,,,,,,,,,,,,,,,,,,,,نسکافه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.7034846,77.2284033,,Point,,node/1431238461,cafe,,,Internet,,,,,,,,,,,,,,,,,,terminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5557074,77.2185983,,Point,,node/1747338780,cafe,,,Cafe Coffee Day,,,,coffee_shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anand Lok Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6172236,76.9835895,,Point,,node/1792704222,cafe,,,,,,,,,,,,,,,,,,,,,terminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6174472,76.9842681,,Point,,node/1792774325,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6175179,76.9841071,,Point,,node/1792774361,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6167833,76.9839033,,Point,,node/1792988571,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5660403,77.2465503,,Point,,node/1795902649,cafe,,,Cafe Coffee Day,,Cafe Coffee Day,,coffee_shop,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
