Ward Number,Ward
Ward No. 24,Harsuru Village
Ward No. 24,ISBT and MRTS Depot
Ward No. 24,Kherki Daula
Ward No. 24,Kherki Daula Village
Ward No. 24,Mohmmadpur Jharsa
Ward No. 24,Mohmmadpur Jharsa Village
Ward No. 24,Narsinghpur
Ward No. 24,Narsinghpur Village
Ward No. 24,SECTOR 36
Ward No. 24,Sector 37B
Ward No. 24,Sector 83
Ward No. 24,Sector 84
Ward No. 24,Sector 88
Ward No. 24,SEZ
Ward No. 24,Sihi
Ward No. 24,Sihi Village
Ward No. 25,Badshapur
Ward No. 25,Badshapur Village
Ward No. 25,Pahari Area
Ward No. 25,Ramgarh Dhani
Ward No. 25,Sector 62
Ward No. 25,Sector 65
Ward No. 25,Sector 66
Ward No. 25,Sector 67
Ward No. 25,Sector 68
Ward No. 25,Sector 69
Ward No. 25,Sector 70
Ward No. 25,Sector 75
Ward No. 25,Sector 75A
Ward No. 25,Sector 76
Ward No. 26,Begampur Khatola
Ward No. 26,Begampur Khatola Village
Ward No. 26,Behrampur
Ward No. 26,Behrampur Village
Ward No. 26,Fazilpur Jharsa
Ward No. 26,Fazilpur Jharsa Village
Ward No. 26,Ghasola
Ward No. 26,Ghasola Village
Ward No. 26,Info City 1
Ward No. 26,Narsinghpur East
Ward No. 26,Nirvana
Ward No. 26,Rosewood City
Ward No. 26,SECTOR 34
Ward No. 26,SECTOR 35
Ward No. 26,SECTOR 48
Ward No. 26,SECTOR 49
Ward No. 26,SECTOR 50
Ward No. 26,Sector 71
Ward No. 26,Sector 72
Ward No. 26,Sector 72A
Ward No. 26,Sector 73
Ward No. 26,SECTOR 74
Ward No. 26,SECTOR 74A
Ward No. 26,South City 2
Ward No. 26,Teekri
Ward No. 26,Teekri Village
Ward No. 26,Uppal Southend
Ward No. 27,Hans Enclave
Ward No. 27,Info City 2
Ward No. 27,Islampur
Ward No. 27,Islampur Village
Ward No. 27,Medi City
Ward No. 27,Naharpur Rupa
Ward No. 27,Naharpur Rupa Village
Ward No. 27,Nitin Vihar
Ward No. 27,Rajiv Colony
Ward No. 27,SECTOR 33
Ward No. 27,SECTOR 38
Ward No. 27,Shiv Colony
Ward No. 27,Wireless Station
Ward No. 28,Jharsa
Ward No. 28,Jharsa Village
Ward No. 28,Prem Puri
Ward No. 28,SECTOR 31
Ward No. 28,SECTOR 32
Ward No. 28,SECTOR 32A
Ward No. 28,SECTOR 39
Ward No. 29,Jalvayu Vihar
Ward No. 29,Kanhai
Ward No. 29,Kanhai Village
Ward No. 29,Mohyal Colony
Ward No. 29,Moti Vihar
Ward No. 29,Saini Khera
Ward No. 29,SECTOR 29
Ward No. 29,SECTOR 30
Ward No. 29,SECTOR 40
Ward No. 29,Greenwood City
Ward No. 29,Sector 41
Ward No. 29,SECTOR 44
Ward No. 29,SECTOR 45
Ward No. 29,Silokhra
Ward No. 29,Silokhra Village
Ward No. 29,South City 1
Ward No. 29,Vijay Vihar
Ward No. 30,Greenwood City
Ward No. 30,Jal Vihar Colony
Ward No. 30,Malibu Town
Ward No. 30,Mayfield Garden
Ward No. 30,Samaspur
Ward No. 30,Samaspur Village
Ward No. 30,SECTOR 46
Ward No. 30,SECTOR 47
Ward No. 30,Sector 47 Distt Centre
Ward No. 30,SECTOR 51
Ward No. 30,SECTOR 57
Ward No. 30,Wazirabad
Ward No. 30,Sushant Lok Phase 2
Ward No. 30,Sushant Lok Phase 3
Ward No. 30,Sushant Lok Phase 3 Extn
Ward No. 30,Tigra
Ward No. 30,Tigra Village
Ward No. 31,Ardee City
Ward No. 31,Indira Colony 1
Ward No. 31, Indira Colony 2
Ward No. 31, SECTOR 52
Ward No. 31,Wazirabad
Ward No. 31,Wazirabad Village
Ward No. 32,DLF City Phase 5
Ward No. 32,Ghata
Ward No. 32, Ghata Village
Ward No. 32,Gwal Pahari Village
Ward No. 32,New Gwal Pahari Village
Ward No. 32,Pahari Area
Ward No. 32,Pahari Area Gwal Pahari
Ward No. 32,SECTOR 42
Ward No. 32,SECTOR 52A
Ward No. 32,SECTOR 53
Ward No. 32,SECTOR 54
Ward No. 32,SECTOR 55
Ward No. 32,SECTOR 56
Ward No. 32,Sector 58
Ward No. 32,Sector 61
Ward No. 32,Suncity
Ward No. 32,Sushant Lok Phase 2
Ward No. 33,Chakkarpur
Ward No. 33,Chakkarpur Village
Ward No. 33,Maruti Vihar
Ward No. 33,Saraswati Vihar
Ward No. 33,SECTOR 43
Ward No. 33,Wazirabad
Ward No. 33,Sushant Lok Phase 1
Ward No. 34,DLF City Phase 1
Ward No. 34,DLF City Phase 2
Ward No. 34,DLF City Phase 4
Ward No. 34,DLF Corporate Park
Ward No. 34,DLF Phase 4
Ward No. 34,Chakkarpur
Ward No. 34,Garden Estate
Ward No. 34,Global Business Park
Ward No. 34,Mall Road
Ward No. 34,Pahari Area
Ward No. 34,Sikanderpur Ghosi
Ward No. 34,SECTOR 27
Ward No. 34,SECTOR 28
Ward No. 34,Sikanderpur Ghosi Village
Ward No. 35,Ambience Island
Ward No. 35,Dhanchiri Camp
Ward No. 35,DLF City Phase 3
Ward No. 35,Nathupur
Ward No. 35,Nathupur Village
Ward No. 35,National Media Center
Ward No. 35,Pahari Area Nathupur Village
