,Ward Number,Ward,Country,State,location,Longitude,Latitude
272,Ward No. 29,SECTOR 30,India,Gurugram,"SECTOR 30, Gurugram, India",77.05688,28.4618719
273,Ward No. 29,SECTOR 40,India,Gurugram,"SECTOR 40, Gurugram, India",77.0577093,28.4500427
274,Ward No. 29,Greenwood City,India,Gurugram,"Greenwood City, Gurugram, India",77.05959738407901,28.4405031
275,Ward No. 29,Sector 41,India,Gurugram,"Sector 41, Gurugram, India",77.0646046,28.4569188
276,Ward No. 29,SECTOR 44,India,Gurugram,"SECTOR 44, Gurugram, India",77.0738281,28.4507064
277,Ward No. 29,SECTOR 45,India,Gurugram,"SECTOR 45, Gurugram, India",77.0663545,28.4449004
278,Ward No. 29,Silokhra,India,Gurugram,"Silokhra, Gurugram, India",,
279,Ward No. 29,Silokhra Village,India,Gurugram,"Silokhra Village, Gurugram, India",,
280,Ward No. 29,South City 1,India,Gurugram,"South City 1, Gurugram, India",77.06690251047928,28.4568853
281,Ward No. 29,Vijay Vihar,India,Gurugram,"Vijay Vihar, Gurugram, India",,
282,Ward No. 30,Greenwood City,India,Gurugram,"Greenwood City, Gurugram, India",77.05959738407901,28.4405031
283,Ward No. 30,Jal Vihar Colony,India,Gurugram,"Jal Vihar Colony, Gurugram, India",,
284,Ward No. 30,Malibu Town,India,Gurugram,"Malibu Town, Gurugram, India",77.0468649,28.4234344
285,Ward No. 30,Mayfield Garden,India,Gurugram,"Mayfield Garden, Gurugram, India",77.07251992008156,28.433169999999997
286,Ward No. 30,Samaspur,India,Gurugram,"Samaspur, Gurugram, India",,
287,Ward No. 30,Samaspur Village,India,Gurugram,"Samaspur Village, Gurugram, India",,
288,Ward No. 30,SECTOR 46,India,Gurugram,"SECTOR 46, Gurugram, India",77.0584045,28.4359133
289,Ward No. 30,SECTOR 47,India,Gurugram,"SECTOR 47, Gurugram, India",77.0475128,28.4251572
290,Ward No. 30,Sector 47 Distt Centre,India,Gurugram,"Sector 47 Distt Centre, Gurugram, India",,
291,Ward No. 30,SECTOR 51,India,Gurugram,"SECTOR 51, Gurugram, India",77.0666877,28.4287011
292,Ward No. 30,SECTOR 57,India,Gurugram,"SECTOR 57, Gurugram, India",77.0804487,28.4232478
293,Ward No. 30,Wazirabad,India,Gurugram,"Wazirabad, Gurugram, India",77.0877572,28.433762
294,Ward No. 30,Sushant Lok Phase 2,India,Gurugram,"Sushant Lok Phase 2, Gurugram, India",77.0969529,28.4574254
295,Ward No. 30,Sushant Lok Phase 3,India,Gurugram,"Sushant Lok Phase 3, Gurugram, India",77.0969529,28.4574254
296,Ward No. 30,Sushant Lok Phase 3 Extn,India,Gurugram,"Sushant Lok Phase 3 Extn, Gurugram, India",,
297,Ward No. 30,Tigra,India,Gurugram,"Tigra, Gurugram, India",,
298,Ward No. 30,Tigra Village,India,Gurugram,"Tigra Village, Gurugram, India",,
299,Ward No. 31,Ardee City,India,Gurugram,"Ardee City, Gurugram, India",77.07920791458703,28.4410412
300,Ward No. 31,Indira Colony 1,India,Gurugram,"Indira Colony 1, Gurugram, India",,
301,Ward No. 31, Indira Colony 2,India,Gurugram," Indira Colony 2, Gurugram, India",,
302,Ward No. 31, SECTOR 52,India,Gurugram," SECTOR 52, Gurugram, India",77.0795276,28.4368166
303,Ward No. 31,Wazirabad,India,Gurugram,"Wazirabad, Gurugram, India",77.0877572,28.433762
304,Ward No. 31,Wazirabad Village,India,Gurugram,"Wazirabad Village, Gurugram, India",77.0877572,28.433762
305,Ward No. 32,DLF City Phase 5,India,Gurugram,"DLF City Phase 5, Gurugram, India",,
306,Ward No. 32,Ghata,India,Gurugram,"Ghata, Gurugram, India",,
307,Ward No. 32, Ghata Village,India,Gurugram," Ghata Village, Gurugram, India",,
308,Ward No. 32,Gwal Pahari Village,India,Gurugram,"Gwal Pahari Village, Gurugram, India",77.14465262823839,28.4345071
309,Ward No. 32,New Gwal Pahari Village,India,Gurugram,"New Gwal Pahari Village, Gurugram, India",77.14465262823839,28.4345071
310,Ward No. 32,Pahari Area,India,Gurugram,"Pahari Area, Gurugram, India",77.14465262823839,28.4345071
311,Ward No. 32,Pahari Area Gwal Pahari,India,Gurugram,"Pahari Area Gwal Pahari, Gurugram, India",77.14465262823839,28.4345071
312,Ward No. 32,SECTOR 42,India,Gurugram,"SECTOR 42, Gurugram, India",77.1084759,28.4558973
313,Ward No. 32,SECTOR 52A,India,Gurugram,"SECTOR 52A, Gurugram, India",77.0905891,28.4396186
314,Ward No. 32,SECTOR 53,India,Gurugram,"SECTOR 53, Gurugram, India",77.096805,28.4415191
315,Ward No. 32,SECTOR 54,India,Gurugram,"SECTOR 54, Gurugram, India",77.1112654,28.4421059
316,Ward No. 32,SECTOR 55,India,Gurugram,"SECTOR 55, Gurugram, India",77.1097538,28.4274166
317,Ward No. 32,SECTOR 56,India,Gurugram,"SECTOR 56, Gurugram, India",77.0985157,28.4253232
318,Ward No. 32,Sector 58,India,Gurugram,"Sector 58, Gurugram, India",77.1085564,28.4160012
319,Ward No. 32,Sector 61,India,Gurugram,"Sector 61, Gurugram, India",77.0963685,28.4110188
320,Ward No. 32,Suncity,India,Gurugram,"Suncity, Gurugram, India",77.0299194,28.4646148
321,Ward No. 32,Sushant Lok Phase 2,India,Gurugram,"Sushant Lok Phase 2, Gurugram, India",77.0969529,28.4574254
322,Ward No. 33,Chakkarpur,India,Gurugram,"Chakkarpur, Gurugram, India",,
323,Ward No. 33,Chakkarpur Village,India,Gurugram,"Chakkarpur Village, Gurugram, India",,
324,Ward No. 33,Maruti Vihar,India,Gurugram,"Maruti Vihar, Gurugram, India",77.08252515230161,28.4766631
325,Ward No. 33,Saraswati Vihar,India,Gurugram,"Saraswati Vihar, Gurugram, India",77.0832762,28.4772236
326,Ward No. 33,SECTOR 43,India,Gurugram,"SECTOR 43, Gurugram, India",77.0858864,28.4548735
327,Ward No. 33,Wazirabad,India,Gurugram,"Wazirabad, Gurugram, India",77.0877572,28.433762
328,Ward No. 33,Sushant Lok Phase 1,India,Gurugram,"Sushant Lok Phase 1, Gurugram, India",77.0969529,28.4574254
329,Ward No. 34,DLF City Phase 1,India,Gurugram,"DLF City Phase 1, Gurugram, India",,
330,Ward No. 34,DLF City Phase 2,India,Gurugram,"DLF City Phase 2, Gurugram, India",,
331,Ward No. 34,DLF City Phase 4,India,Gurugram,"DLF City Phase 4, Gurugram, India",,
332,Ward No. 34,DLF Corporate Park,India,Gurugram,"DLF Corporate Park, Gurugram, India",,
333,Ward No. 34,DLF Phase 4,India,Gurugram,"DLF Phase 4, Gurugram, India",77.1043088,28.482859
334,Ward No. 34,Chakkarpur,India,Gurugram,"Chakkarpur, Gurugram, India",,
335,Ward No. 34,Garden Estate,India,Gurugram,"Garden Estate, Gurugram, India",77.06697570202148,28.40231275
336,Ward No. 34,Global Business Park,India,Gurugram,"Global Business Park, Gurugram, India",,
337,Ward No. 34,Mall Road,India,Gurugram,"Mall Road, Gurugram, India",,
338,Ward No. 34,Pahari Area,India,Gurugram,"Pahari Area, Gurugram, India",77.14465262823839,28.4345071
339,Ward No. 34,Sikanderpur Ghosi,India,Gurugram,"Sikanderpur Ghosi, Gurugram, India",,
340,Ward No. 34,SECTOR 27,India,Gurugram,"SECTOR 27, Gurugram, India",77.0839505,28.4646566
341,Ward No. 34,SECTOR 28,India,Gurugram,"SECTOR 28, Gurugram, India",77.0825722,28.4741302
342,Ward No. 34,Sikanderpur Ghosi Village,India,Gurugram,"Sikanderpur Ghosi Village, Gurugram, India",,
343,Ward No. 35,Ambience Island,India,Gurugram,"Ambience Island, Gurugram, India",77.102441,28.5007796
344,Ward No. 35,Dhanchiri Camp,India,Gurugram,"Dhanchiri Camp, Gurugram, India",,
345,Ward No. 35,DLF City Phase 3,India,Gurugram,"DLF City Phase 3, Gurugram, India",,
346,Ward No. 35,Nathupur,India,Gurugram,"Nathupur, Gurugram, India",77.0998782,28.4895112
347,Ward No. 35,Nathupur Village,India,Gurugram,"Nathupur Village, Gurugram, India",77.0998782,28.4895112
348,Ward No. 35,National Media Center,India,Gurugram,"National Media Center, Gurugram, India",77.0937936,28.4997047
349,Ward No. 35,Pahari Area Nathupur Village,India,Gurugram,"Pahari Area Nathupur Village, Gurugram, India",,
