,Ward Number,Ward,Country,State,location,Longitude,Latitude
59,Ward No. 8,SECTOR 100,India,Gurugram,"SECTOR 100, Gurugram, India",76.9712708,28.4613898
60,Ward No. 8,SECTOR 101,India,Gurugram,"SECTOR 101, Gurugram, India",76.9803787,28.4684077
61,Ward No. 8,Sector 102,India,Gurugram,"Sector 102, Gurugram, India",76.9711747,28.4754872
62,Ward No. 8,Sector 102A,India,Gurugram,"Sector 102A, Gurugram, India",76.9779064,28.4830826
63,Ward No. 8,Sector 103,India,Gurugram,"Sector 103, Gurugram, India",76.9866453,28.493087
64,Ward No. 8,SECTOR 104,India,Gurugram,"SECTOR 104, Gurugram, India",76.9937197,28.4795324
65,Ward No. 8,SECTOR 37D,India,Gurugram,"SECTOR 37D, Gurugram, India",76.9697682,28.4480039
66,Ward No. 8,SECTOR 9B,India,Gurugram,"SECTOR 9B, Gurugram, India",76.981012,28.4563803
67,Ward No. 8,Surat Nagar Phase 2,India,Gurugram,"Surat Nagar Phase 2, Gurugram, India",,
68,Ward No. 8,Tek Chand Nagar,India,Gurugram,"Tek Chand Nagar, Gurugram, India",,
69,Ward No. 9,Ambedkar Nagar,India,Gurugram,"Ambedkar Nagar, Gurugram, India",,
70,Ward No. 9,Devilal Colony,India,Gurugram,"Devilal Colony, Gurugram, India",,
71,Ward No. 9,Feroz Gandhi Colony Phase 2,India,Gurugram,"Feroz Gandhi Colony Phase 2, Gurugram, India",,
72,Ward No. 9,Ravi Nagar,India,Gurugram,"Ravi Nagar, Gurugram, India",,
73,Ward No. 9,SECTOR 9,India,Gurugram,"SECTOR 9, Gurugram, India",76.88613371114232,28.38409855
74,Ward No. 9,SECTOR 9A,India,Gurugram,"SECTOR 9A, Gurugram, India",76.9962811,28.4690266
75,Ward No. 9,Surya Vihar,India,Gurugram,"Surya Vihar, Gurugram, India",,
76,Ward No. 10,Cancon Enclave,India,Gurugram,"Cancon Enclave, Gurugram, India",,
77,Ward No. 10,Laxman Vihar Phase 1,India,Gurugram,"Laxman Vihar Phase 1, Gurugram, India",,
78,Ward No. 10,Laxman Vihar Phase 2,India,Gurugram,"Laxman Vihar Phase 2, Gurugram, India",,
79,Ward No. 10,SECTOR 4,India,Gurugram,"SECTOR 4, Gurugram, India",77.0103535,28.4750063
80,Ward No. 11,Jyoti Park,India,Gurugram,"Jyoti Park, Gurugram, India",77.0350291,28.4763789
81,Ward No. 11,Krishna Colony,India,Gurugram,"Krishna Colony, Gurugram, India",,
82,Ward No. 11,SECTOR 7,India,Gurugram,"SECTOR 7, Gurugram, India",77.0142654,28.4662572
83,Ward No. 11,SECTOR 7 Extn,India,Gurugram,"SECTOR 7 Extn, Gurugram, India",,
84,Ward No. 11,SECTOR 7 Housing Board,India,Gurugram,"SECTOR 7 Housing Board, Gurugram, India",77.0142654,28.4662572
85,Ward No. 11,Shivpuri,India,Gurugram,"Shivpuri, Gurugram, India",,
86,Ward No. 12,Arjun Nagar,India,Gurugram,"Arjun Nagar, Gurugram, India",,
87,Ward No. 12,Idgah Colony,India,Gurugram,"Idgah Colony, Gurugram, India",,
88,Ward No. 12,Jyoti Park,India,Gurugram,"Jyoti Park, Gurugram, India",77.0350291,28.4763789
89,Ward No. 12,Madanpuri,India,Gurugram,"Madanpuri, Gurugram, India",77.0185742,28.4621977
90,Ward No. 12,Nehru Lane,India,Gurugram,"Nehru Lane, Gurugram, India",77.0299885661441,28.45642875
91,Ward No. 12,New Colony,India,Gurugram,"New Colony, Gurugram, India",76.9941292,28.46236905
92,Ward No. 12,Pratap Nagar,India,Gurugram,"Pratap Nagar, Gurugram, India",77.0299194,28.4646148
93,Ward No. 12,Rattan Garden,India,Gurugram,"Rattan Garden, Gurugram, India",,
94,Ward No. 12,Vijay Park,India,Gurugram,"Vijay Park, Gurugram, India",76.9295248,28.3986252
95,Ward No. 13,Bhim Nagar,India,Gurugram,"Bhim Nagar, Gurugram, India",,
96,Ward No. 13,Indra Puri,India,Gurugram,"Indra Puri, Gurugram, India",,
97,Ward No. 13,Jacubpura,India,Gurugram,"Jacubpura, Gurugram, India",,
98,Ward No. 13,Jawahar Nagar,India,Gurugram,"Jawahar Nagar, Gurugram, India",,
99,Ward No. 13,Nai Basti,India,Gurugram,"Nai Basti, Gurugram, India",,
100,Ward No. 13,Prem Nagar 1,India,Gurugram,"Prem Nagar 1, Gurugram, India",,
101,Ward No. 13,Ram Nagar,India,Gurugram,"Ram Nagar, Gurugram, India",77.04125277664866,28.28424355
102,Ward No. 13,Subhash Nagar,India,Gurugram,"Subhash Nagar, Gurugram, India",77.0299194,28.4646148
103,Ward No. 14,Amanpura,India,Gurugram,"Amanpura, Gurugram, India",,
104,Ward No. 14,Ashok Puri,India,Gurugram,"Ashok Puri, Gurugram, India",,
105,Ward No. 14,Dayanand Colony,India,Gurugram,"Dayanand Colony, Gurugram, India",,
106,Ward No. 14,Gurugram,India,Gurugram,"Gurugram, Gurugram, India",77.0848883,28.4808629
107,Ward No. 14,Gurugram Village,India,Gurugram,"Gurugram Village, Gurugram, India",77.0848883,28.4808629
108,Ward No. 14,Sector 5,India,Gurugram,"Sector 5, Gurugram, India",77.0190946,28.4803924
109,Ward No. 15,Acharya Puri,India,Gurugram,"Acharya Puri, Gurugram, India",,
110,Ward No. 15,Adarsh Nagar,India,Gurugram,"Adarsh Nagar, Gurugram, India",,
111,Ward No. 15,Anamika Enclave,India,Gurugram,"Anamika Enclave, Gurugram, India",77.0418294,28.4669502
112,Ward No. 15,Gopal Nagar,India,Gurugram,"Gopal Nagar, Gurugram, India",,
113,Ward No. 15,HUDA Market Sector 12A,India,Gurugram,"HUDA Market Sector 12A, Gurugram, India",77.0592381,28.4345999
114,Ward No. 15,Lajpat Nagar,India,Gurugram,"Lajpat Nagar, Gurugram, India",,
115,Ward No. 15,Mahavir Pura,India,Gurugram,"Mahavir Pura, Gurugram, India",,
116,Ward No. 15,Mianwali Colony,India,Gurugram,"Mianwali Colony, Gurugram, India",,
117,Ward No. 15,Old DLF,India,Gurugram,"Old DLF, Gurugram, India",77.0432814,28.4701452
118,Ward No. 15,Prem Nagar 2,India,Gurugram,"Prem Nagar 2, Gurugram, India",,
119,Ward No. 15,Rajiv Nagar West,India,Gurugram,"Rajiv Nagar West, Gurugram, India",,
120,Ward No. 15,Sanjay Colony,India,Gurugram,"Sanjay Colony, Gurugram, India",,
121,Ward No. 15,SECTOR 12A ,India,Gurugram,"SECTOR 12A , Gurugram, India",77.0315426,28.4701041
122,Ward No. 16,,India,Gurugram,,11.0480288,46.3144754
123,Ward No. 17,Airforce Station,India,Gurugram,"Airforce Station, Gurugram, India",77.05335152771283,28.483005849999998
124,Ward No. 17,Canal Colony,India,Gurugram,"Canal Colony, Gurugram, India",,
125,Ward No. 17,Chander Nagar,India,Gurugram,"Chander Nagar, Gurugram, India",77.0473001,28.4662946
126,Ward No. 17,Industrial Estate Development Colony,India,Gurugram,"Industrial Estate Development Colony, Gurugram, India",,
127,Ward No. 17,MDI,India,Gurugram,"MDI, Gurugram, India",77.0570497,28.4742372
128,Ward No. 17,SECTOR 14,India,Gurugram,"SECTOR 14, Gurugram, India",76.90156540750243,28.3833517
129,Ward No. 17,SECTOR 15-2,India,Gurugram,"SECTOR 15-2, Gurugram, India",77.0460104,28.4614487
130,Ward No. 17,SECTOR 16,India,Gurugram,"SECTOR 16, Gurugram, India",77.0511794,28.4687344
131,Ward No. 17,SECTOR 17,India,Gurugram,"SECTOR 17, Gurugram, India",77.0607773,28.4758035
132,Ward No. 17,Sukhrali,India,Gurugram,"Sukhrali, Gurugram, India",77.059998,28.4765288
133,Ward No. 17,Sukhrali Village,India,Gurugram,"Sukhrali Village, Gurugram, India",77.059998,28.4765288
134,Ward No. 18,Baraf Khana,India,Gurugram,"Baraf Khana, Gurugram, India",,
135,Ward No. 18,Civil Lines,India,Gurugram,"Civil Lines, Gurugram, India",77.03390232144478,28.46168505
136,Ward No. 18,Friends Colony,India,Gurugram,"Friends Colony, Gurugram, India",,
137,Ward No. 18,HVPNL Colony,India,Gurugram,"HVPNL Colony, Gurugram, India",,
138,Ward No. 18,Jacubpura,India,Gurugram,"Jacubpura, Gurugram, India",,
139,Ward No. 18,Kirti Nagar,India,Gurugram,"Kirti Nagar, Gurugram, India",,
140,Ward No. 18,Patel Nagar,India,Gurugram,"Patel Nagar, Gurugram, India",77.0391986,28.4657746
141,Ward No. 18,Police Line,India,Gurugram,"Police Line, Gurugram, India",77.0299194,28.4646148
142,Ward No. 18,Roshanpura,India,Gurugram,"Roshanpura, Gurugram, India",,
143,Ward No. 18,SECTOR 15-1 ,India,Gurugram,"SECTOR 15-1 , Gurugram, India",77.0376328,28.4529876
144,Ward No. 19,Heera Nagar,India,Gurugram,"Heera Nagar, Gurugram, India",,
145,Ward No. 19,Laxmi Garden,India,Gurugram,"Laxmi Garden, Gurugram, India",76.9846097,28.4576102
146,Ward No. 19,Om Nagar,India,Gurugram,"Om Nagar, Gurugram, India",77.0211592,28.4500334
147,Ward No. 19,Shanti Nagar,India,Gurugram,"Shanti Nagar, Gurugram, India",,
148,Ward No. 19,Shivaji Nagar,India,Gurugram,"Shivaji Nagar, Gurugram, India",77.0237905,28.4552808
149,Ward No. 20,Anaj Mandi,India,Gurugram,"Anaj Mandi, Gurugram, India",,
150,Ward No. 20,Hari Nagar,India,Gurugram,"Hari Nagar, Gurugram, India",,
151,Ward No. 20,Raj Nagar,India,Gurugram,"Raj Nagar, Gurugram, India",77.0180396,28.4480285
152,Ward No. 20,Shakti Park,India,Gurugram,"Shakti Park, Gurugram, India",,
153,Ward No. 20,Shivji Park,India,Gurugram,"Shivji Park, Gurugram, India",,
154,Ward No. 21,Aath Marla,India,Gurugram,"Aath Marla, Gurugram, India",,
155,Ward No. 21,Amar Colony,India,Gurugram,"Amar Colony, Gurugram, India",,
156,Ward No. 21,Auto Market,India,Gurugram,"Auto Market, Gurugram, India",77.0848883,28.4808629
157,Ward No. 21,Baldev Nagar,India,Gurugram,"Baldev Nagar, Gurugram, India",,
158,Ward No. 21,Char Marla,India,Gurugram,"Char Marla, Gurugram, India",,
159,Ward No. 21,Gandhi Nagar,India,Gurugram,"Gandhi Nagar, Gurugram, India",77.01532870904458,28.4531749
160,Ward No. 21,Manohar Nagar,India,Gurugram,"Manohar Nagar, Gurugram, India",,
161,Ward No. 21,Nai Aabadi,India,Gurugram,"Nai Aabadi, Gurugram, India",,
162,Ward No. 21,Shakti Nagar,India,Gurugram,"Shakti Nagar, Gurugram, India",,
163,Ward No. 21,Veer Nagar,India,Gurugram,"Veer Nagar, Gurugram, India",,
164,Ward No. 22,Basai Enclave 2,India,Gurugram,"Basai Enclave 2, Gurugram, India",,
165,Ward No. 22,Bhawani Enclave,India,Gurugram,"Bhawani Enclave, Gurugram, India",,
166,Ward No. 22,Feroz Gandhi Colony,India,Gurugram,"Feroz Gandhi Colony, Gurugram, India",,
167,Ward No. 22,Kadipur,India,Gurugram,"Kadipur, Gurugram, India",,
168,Ward No. 22,Kadipur Enclave,India,Gurugram,"Kadipur Enclave, Gurugram, India",,
169,Ward No. 22,Kadipur Industrial Area,India,Gurugram,"Kadipur Industrial Area, Gurugram, India",,
170,Ward No. 22,Kadipur Village,India,Gurugram,"Kadipur Village, Gurugram, India",,
171,Ward No. 22,Krishna Nagar,India,Gurugram,"Krishna Nagar, Gurugram, India",,
172,Ward No. 22,SECTOR 10,India,Gurugram,"SECTOR 10, Gurugram, India",77.0060231,28.4445813
173,Ward No. 22,SECTOR 37C,India,Gurugram,"SECTOR 37C, Gurugram, India",76.9880502,28.4489095
174,Ward No. 22,Shiv Nagar,India,Gurugram,"Shiv Nagar, Gurugram, India",,
175,Ward No. 22,Vikas Nagar,India,Gurugram,"Vikas Nagar, Gurugram, India",,
176,Ward No. 22,Vishwakarma Colony,India,Gurugram,"Vishwakarma Colony, Gurugram, India",,
177,Ward No. 23,Khandsa,India,Gurugram,"Khandsa, Gurugram, India",,
178,Ward No. 23,Khandsa Village,India,Gurugram,"Khandsa Village, Gurugram, India",,
179,Ward No. 23,Old Industrial Area Khandsa Road,India,Gurugram,"Old Industrial Area Khandsa Road, Gurugram, India",,
180,Ward No. 23,Pace City 1,India,Gurugram,"Pace City 1, Gurugram, India",77.01092880538346,28.43970795
181,Ward No. 23,Pace City 2,India,Gurugram,"Pace City 2, Gurugram, India",,
182,Ward No. 23,Saraswati Enclave,India,Gurugram,"Saraswati Enclave, Gurugram, India",,
183,Ward No. 23,SECTOR 10A,India,Gurugram,"SECTOR 10A, Gurugram, India",76.96547472597982,28.39635775
184,Ward No. 23,Udyog Vihar Phase 6,India,Gurugram,"Udyog Vihar Phase 6, Gurugram, India",,
185,Ward No. 24,Gharoli Khurd,India,Gurugram,"Gharoli Khurd, Gurugram, India",,
186,Ward No. 24,Gharoli Khurd Village,India,Gurugram,"Gharoli Khurd Village, Gurugram, India",,
187,Ward No. 24,Harsuru,India,Gurugram,"Harsuru, Gurugram, India",,
188,Ward No. 24,Harsuru Village,India,Gurugram,"Harsuru Village, Gurugram, India",,
189,Ward No. 24,ISBT and MRTS Depot,India,Gurugram,"ISBT and MRTS Depot, Gurugram, India",,
190,Ward No. 24,Kherki Daula,India,Gurugram,"Kherki Daula, Gurugram, India",,
191,Ward No. 24,Kherki Daula Village,India,Gurugram,"Kherki Daula Village, Gurugram, India",,
192,Ward No. 24,Mohmmadpur Jharsa,India,Gurugram,"Mohmmadpur Jharsa, Gurugram, India",,
193,Ward No. 24,Mohmmadpur Jharsa Village,India,Gurugram,"Mohmmadpur Jharsa Village, Gurugram, India",,
194,Ward No. 24,Narsinghpur,India,Gurugram,"Narsinghpur, Gurugram, India",,
195,Ward No. 24,Narsinghpur Village,India,Gurugram,"Narsinghpur Village, Gurugram, India",,
196,Ward No. 24,SECTOR 36,India,Gurugram,"SECTOR 36, Gurugram, India",76.9889256,28.419334
197,Ward No. 24,Sector 37B,India,Gurugram,"Sector 37B, Gurugram, India",76.9813419,28.4333189
198,Ward No. 24,Sector 83,India,Gurugram,"Sector 83, Gurugram, India",76.9732873,28.3981087
199,Ward No. 24,Sector 84,India,Gurugram,"Sector 84, Gurugram, India",76.9630245,28.4082289
200,Ward No. 24,Sector 88,India,Gurugram,"Sector 88, Gurugram, India",76.9568078,28.4219647
201,Ward No. 24,SEZ,India,Gurugram,"SEZ, Gurugram, India",77.05601020374911,28.463192399999997
202,Ward No. 24,Sihi,India,Gurugram,"Sihi, Gurugram, India",76.97110996405914,28.41163255
203,Ward No. 24,Sihi Village,India,Gurugram,"Sihi Village, Gurugram, India",76.97110996405914,28.41163255
204,Ward No. 25,Badshapur,India,Gurugram,"Badshapur, Gurugram, India",,
205,Ward No. 25,Badshapur Village,India,Gurugram,"Badshapur Village, Gurugram, India",,
206,Ward No. 25,Pahari Area,India,Gurugram,"Pahari Area, Gurugram, India",77.14465262823839,28.4345071
207,Ward No. 25,Ramgarh Dhani,India,Gurugram,"Ramgarh Dhani, Gurugram, India",,
208,Ward No. 25,Sector 62,India,Gurugram,"Sector 62, Gurugram, India",77.0823781,28.407697
209,Ward No. 25,Sector 65,India,Gurugram,"Sector 65, Gurugram, India",77.0695893,28.4030162
210,Ward No. 25,Sector 66,India,Gurugram,"Sector 66, Gurugram, India",77.0538823,28.3974292
211,Ward No. 25,Sector 67,India,Gurugram,"Sector 67, Gurugram, India",77.0598046,28.3864052
212,Ward No. 25,Sector 68,India,Gurugram,"Sector 68, Gurugram, India",77.0459859,28.388897
213,Ward No. 25,Sector 69,India,Gurugram,"Sector 69, Gurugram, India",77.0372311,28.3960701
214,Ward No. 25,Sector 70,India,Gurugram,"Sector 70, Gurugram, India",77.0223138,28.3947261
215,Ward No. 25,Sector 75,India,Gurugram,"Sector 75, Gurugram, India",77.0065896,28.3964476
216,Ward No. 25,Sector 75A,India,Gurugram,"Sector 75A, Gurugram, India",76.9944537,28.4004545
217,Ward No. 25,Sector 76,India,Gurugram,"Sector 76, Gurugram, India",76.9900243,28.3910112
218,Ward No. 26,Begampur Khatola,India,Gurugram,"Begampur Khatola, Gurugram, India",,
219,Ward No. 26,Begampur Khatola Village,India,Gurugram,"Begampur Khatola Village, Gurugram, India",,
220,Ward No. 26,Behrampur,India,Gurugram,"Behrampur, Gurugram, India",77.1104133,28.4065273
221,Ward No. 26,Behrampur Village,India,Gurugram,"Behrampur Village, Gurugram, India",77.1104133,28.4065273
222,Ward No. 26,Fazilpur Jharsa,India,Gurugram,"Fazilpur Jharsa, Gurugram, India",,
223,Ward No. 26,Fazilpur Jharsa Village,India,Gurugram,"Fazilpur Jharsa Village, Gurugram, India",,
224,Ward No. 26,Ghasola,India,Gurugram,"Ghasola, Gurugram, India",,
225,Ward No. 26,Ghasola Village,India,Gurugram,"Ghasola Village, Gurugram, India",,
226,Ward No. 26,Info City 1,India,Gurugram,"Info City 1, Gurugram, India",,
227,Ward No. 26,Narsinghpur East,India,Gurugram,"Narsinghpur East, Gurugram, India",,
228,Ward No. 26,Nirvana,India,Gurugram,"Nirvana, Gurugram, India",77.06429550564044,28.41505085
229,Ward No. 26,Rosewood City,India,Gurugram,"Rosewood City, Gurugram, India",77.0544854394754,28.41023405
230,Ward No. 26,SECTOR 34,India,Gurugram,"SECTOR 34, Gurugram, India",77.0115678,28.4280033
231,Ward No. 26,SECTOR 35,India,Gurugram,"SECTOR 35, Gurugram, India",77.0018689,28.4145669
232,Ward No. 26,SECTOR 48,India,Gurugram,"SECTOR 48, Gurugram, India",77.0394627,28.4104903
233,Ward No. 26,SECTOR 49,India,Gurugram,"SECTOR 49, Gurugram, India",77.0498362,28.4128851
234,Ward No. 26,SECTOR 50,India,Gurugram,"SECTOR 50, Gurugram, India",77.0611745,28.4166536
235,Ward No. 26,Sector 71,India,Gurugram,"Sector 71, Gurugram, India",77.0233125,28.4064564
236,Ward No. 26,Sector 72,India,Gurugram,"Sector 72, Gurugram, India",77.0290772,28.4159257
237,Ward No. 26,Sector 72A,India,Gurugram,"Sector 72A, Gurugram, India",77.0187775,28.4233234
238,Ward No. 26,Sector 73,India,Gurugram,"Sector 73, Gurugram, India",77.0161691,28.4088081
239,Ward No. 26,SECTOR 74,India,Gurugram,"SECTOR 74, Gurugram, India",77.0101209,28.4110081
240,Ward No. 26,SECTOR 74A,India,Gurugram,"SECTOR 74A, Gurugram, India",76.9991194,28.4108506
241,Ward No. 26,South City 2,India,Gurugram,"South City 2, Gurugram, India",77.04875706340097,28.416967
242,Ward No. 26,Teekri,India,Gurugram,"Teekri, Gurugram, India",,
243,Ward No. 26,Teekri Village,India,Gurugram,"Teekri Village, Gurugram, India",,
244,Ward No. 26,Uppal Southend,India,Gurugram,"Uppal Southend, Gurugram, India",77.0465154,28.4102729
245,Ward No. 27,Hans Enclave,India,Gurugram,"Hans Enclave, Gurugram, India",77.0257583,28.4453686
246,Ward No. 27,Info City 2,India,Gurugram,"Info City 2, Gurugram, India",,
247,Ward No. 27,Islampur,India,Gurugram,"Islampur, Gurugram, India",77.03701173034445,28.4334464
248,Ward No. 27,Islampur Village,India,Gurugram,"Islampur Village, Gurugram, India",77.03701173034445,28.4334464
249,Ward No. 27,Medi City,India,Gurugram,"Medi City, Gurugram, India",77.0944438,28.4257805
250,Ward No. 27,Naharpur Rupa,India,Gurugram,"Naharpur Rupa, Gurugram, India",77.0209819,28.445846
251,Ward No. 27,Naharpur Rupa Village,India,Gurugram,"Naharpur Rupa Village, Gurugram, India",77.0209819,28.445846
252,Ward No. 27,Nitin Vihar,India,Gurugram,"Nitin Vihar, Gurugram, India",,
253,Ward No. 27,Rajiv Colony,India,Gurugram,"Rajiv Colony, Gurugram, India",,
254,Ward No. 27,SECTOR 33,India,Gurugram,"SECTOR 33, Gurugram, India",77.0251655,28.4384785
255,Ward No. 27,SECTOR 38,India,Gurugram,"SECTOR 38, Gurugram, India",77.0403538,28.4351423
256,Ward No. 27,Shiv Colony,India,Gurugram,"Shiv Colony, Gurugram, India",,
257,Ward No. 27,Wireless Station,India,Gurugram,"Wireless Station, Gurugram, India",,
258,Ward No. 28,Jharsa,India,Gurugram,"Jharsa, Gurugram, India",77.0491372,28.4445323
259,Ward No. 28,Jharsa Village,India,Gurugram,"Jharsa Village, Gurugram, India",77.0491372,28.4445323
260,Ward No. 28,Prem Puri,India,Gurugram,"Prem Puri, Gurugram, India",,
261,Ward No. 28,SECTOR 31,India,Gurugram,"SECTOR 31, Gurugram, India",77.0497179,28.4540044
262,Ward No. 28,SECTOR 32,India,Gurugram,"SECTOR 32, Gurugram, India",77.0413169,28.4458035
263,Ward No. 28,SECTOR 32A,India,Gurugram,"SECTOR 32A, Gurugram, India",76.89917954103845,28.39121925
264,Ward No. 28,SECTOR 39,India,Gurugram,"SECTOR 39, Gurugram, India",77.0504724,28.4423675
265,Ward No. 29,Jalvayu Vihar,India,Gurugram,"Jalvayu Vihar, Gurugram, India",77.05281772070796,28.45843335
266,Ward No. 29,Kanhai,India,Gurugram,"Kanhai, Gurugram, India",,
267,Ward No. 29,Kanhai Village,India,Gurugram,"Kanhai Village, Gurugram, India",,
268,Ward No. 29,Mohyal Colony,India,Gurugram,"Mohyal Colony, Gurugram, India",,
269,Ward No. 29,Moti Vihar,India,Gurugram,"Moti Vihar, Gurugram, India",77.0420245,28.5113741
270,Ward No. 29,Saini Khera,India,Gurugram,"Saini Khera, Gurugram, India",,
271,Ward No. 29,SECTOR 29,India,Gurugram,"SECTOR 29, Gurugram, India",77.0671306,28.4669197
