latitude,longitude,altitude,geometry,coordinates,@id,access,addr:postcode,addr:street,building,castle_type,height,historic,name,name:en,old_name,opening_hours,phone,tourism,type,website,wikidata,barrier,wikipedia,building:levels,alt_name,building:material,building:colour,historic:civilization,landuse,operator,area,building:height,min_height,amenity,religion,leisure,man_made,material,natural,name:de,name:uk,name:ur,start_date,denomination,place_of_worship,addr:city,addr:country,heritage:operator,is_in:city,is_in:continent,is_in:country,is_in:country_code,is_in:iso_3166_2,name:az,name:bn,name:el,name:es,name:ja,name:ka,name:ko,name:th,ref:whc,whc:criteria,whc:inscription_date,wikipedia:en,source,addr:housenumber,addr:state,name:cs,name:fa,name:id,name:vi,short_name:zh,description,name:be,name:fr,name:gu,name:it,name:mr,name:ne,name:nl,name:pt,name:sa,name:te,wheelchair,cemetery,memorial,roof:shape,tomb,bicycle,note,is_in,name:ca,url,wikimedia_commons,inscription
28.6100877,77.1916453,,Point,,node/266809614,,,,,,,monument,Dandi March Statue (11 Murthi),,,,,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6406036,77.2495084,,Point,,node/496457138,,,,,,,memorial,Rajghat,,,,,,,,Q1210083,,en:Raj Ghat and associated memorials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6427962,77.2503595,,Point,,node/496457140,,,,,,,memorial,Veer Bhumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6440626,77.2489572,,Point,,node/498724141,,,,,,,memorial,Shakti Sthal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6396841,77.2520843,,Point,,node/566200829,,,,,,,memorial,Kisan Ghat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6422523,77.2327285,,Point,,node/943748993,,,,,,,archaeological_site,Turkman Gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6411749,77.2406152,,Point,,node/943749248,,,,,,,archaeological_site,Delhi Gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5406867,77.2058178,,Point,,node/1024317412,,,,,,,archaeological_site,Octagonal observation post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Delhi, Delhi, India",,,,
28.5406262,77.2061002,,Point,,node/1024317426,,,,,,,archaeological_site,Bijaymandal Hall Ruins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5408107,77.2056042,,Point,,node/1024317438,,,,,,,archaeological_site,Dome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5566158,77.1917047,,Point,,node/1024901350,,,,,,,monument,Munda Gumbad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5528517,77.1936658,,Point,,node/1024907331,,,,,,,archaeological_site,Unidentified Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5542017,77.1938657,,Point,,node/1024907338,,,,,,,archaeological_site,Hauz Khas Medresse Mosque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.553352,77.1942639,,Point,,node/1024907428,,,,,,,archaeological_site,Unidentified Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5528305,77.193698,,Point,,node/1024907476,,,,,,,archaeological_site,Unidentified Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.553326,77.1941314,,Point,,node/1024907487,,,,,,,archaeological_site,Unidentified Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5210119,77.1832837,,Point,,node/1038392833,,,,,,,monument,Tombs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5205192,77.1825491,,Point,,node/1038392872,,,,,,,monument,Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5230419,77.1863121,,Point,,node/1038392885,,,,,,,monument,Gateway Guest House (Metcalfe's Retreat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5187218,77.1879422,,Point,,node/1038392955,,,,,,,monument,Gumti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5198643,77.1871761,,Point,,node/1038393170,,,,,,,monument,Jamali Kamali Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.539902,77.213146,,Point,,node/1119661736,,,,,,,archaeological_site,Lal Gumbad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5111647,77.2637954,,Point,,node/1186823713,,,,,,,ruins,Vijaymandal,,,24/7,,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5118397,77.2632747,,Point,,node/1186823729,,,,,,,mosque,Tughlakabad Mosque,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5914282,77.2430127,,Point,,node/1195165037,,,,,,,memorial,Mirza Ghalib's Tomb,,,,,,,,Q41654346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.7230286,77.1968161,,Point,,node/1232326552,,,,,,,memorial,Coronation Memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.7223329,77.1965092,,Point,,node/1232326563,,,,,,,memorial,King George V Statue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6070826,77.1800207,,Point,,node/1328248411,,,,,,,memorial,Moluddin Chisti's Grave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5247906,77.1851392,,Point,,node/1486895412,,,,,,7,monument,Iron Pillar,,,,,,,,Q543419,,en:Iron pillar of Dehli,,,,,,,,,,,,,,,,,Eiserne Säule,,,,,,,,,,,,,,,,,,ｱｼｮｶ･ﾋﾟﾗｰ,,,,,,,,,,,,,,,,,,,,,,,,Pilar de ferro,,,,,,,,,,,,,,
28.6692735,77.123023,,Point,,node/1709843874,,,,,,,Shiv Mandir Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5880836,77.2480396,,Point,,node/1754574641,,,,,,,archaeological_site,Tomb of Abdul Rahim Khan I Khana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5922299,77.2461834,,Point,,node/1754574702,,,,,,,archaeological_site,Isa Khan's Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6122847,76.985632,,Point,,node/1764309944,,,,,,,archaeological_site,Delhi Gate,,,,,,,,,,,,Dilli Gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5555149,77.2029261,,Point,,node/1834064239,,,,,,,archaeological_site,Neela Gumbad,Biran Ka Gumbad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5829372,77.2657489,,Point,,node/2295396747,,,,,,,monument,Commonwealth Games Sundial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6267357,77.2165417,,Point,,node/2323525222,,,,,,,monument,Jai Praksh Yantra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6262869,77.2165412,,Point,,node/2323525223,,,,,,,monument,Misra Yantra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6267383,77.2167177,,Point,,node/2323525224,,,,,,,monument,Misra Yantra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6247721,77.2163925,,Point,,node/2323525225,,,,,,,monument,Misra Yantra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6270488,77.2167471,,Point,,node/2323525227,,,,,,,monument,Shasthamasa Yantra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.658932,77.2408495,,Point,,node/2410177680,,,,,,,water_well,Red Fort Baoli,step-well,,,,,,,,,,,,,,,,,,,,,,,water_well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5250966,77.1847786,,Point,,node/2654012003,,110030,"Qutub Minar Complex Rd, Seth Sarai, Mehrauli, New Delhi",,,,tomb,Tomb of Shamsuddin Iltutmish,,,,,,,,Q336312,,en:Iltutmish,,,,,,,,,,,,,,,,,,,شمس الدین التتمش کی قبر,,,,Delhi,,,,,,,,,শামসুদ্দীন ইলতুতমিশ এর ক্ববর,,,,,,,,,,,,Qutub Minar Complex,,,,,,,,,,,,,,,,,,,,,,mausoleum,,,,,,,
28.6568411,77.2185339,,Point,,node/2702748543,,,,,,,archaeological_site,Lahori Gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6622924,77.2342466,,Point,,node/2714430425,,,,,,,archaeological_site,Mutiny Telegraph Memorial,,,,,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6454237,77.2315547,,Point,,node/2714497362,,,,,,,archaeological_site,Raziya Begum's Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6461506,77.2153853,,Point,,node/2714497374,,,,,,,archaeological_site,Qadam Sharief s Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6457128,77.2220106,,Point,,node/2714497389,,,,,,,archaeological_site,Ghaziuddin Khan s Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6464284,77.2153531,,Point,,node/2714555470,,,,,,,archaeological_site,Kunwari Begum ka Burj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5543739,77.2339265,,Point,,node/2715320508,,,,,,,archaeological_site,Zamrudpur Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
