latitude,longitude,altitude,geometry,coordinates,@id,amenity,type,addr:city,addr:street,building,name,name:de,name:en,name:es,name:fa,name:hi,name:ru,name:zh,opening_hours,phone,religion,tourism,website,wikidata,wikipedia,access,addr:postcode,castle_type,height,historic,name:ar,name:he,name:ml,name:ta,old_name,barrier,denomination,krishna,alt_name,name:fr,name:it,name:pt,name:uk,start_date,source,building:levels,building:material,building:colour,historic:civilization,landuse,operator,area,building:height,min_height,fixme,leisure,man_made,note,material,addr:housename,natural,name:ur,place_of_worship,addr:country,heritage:operator,is_in:city,is_in:continent,is_in:country,is_in:country_code,is_in:iso_3166_2,name:az,name:bn,name:el,name:ja,name:ka,name:ko,name:th,ref:whc,whc:criteria,whc:inscription_date,wikipedia:en,addr:housenumber,addr:state,name:cs,name:id,name:vi,short_name:zh,int_name,description,name:be,name:gu,name:mr,name:ne,name:nl,name:sa,name:te,wheelchair,length,name:pa,width,cemetery,memorial,roof:shape,addr:suburb,service_times,tomb,bicycle,opening_hours:covid19,created_by,is_in,name:ca,url,wikimedia_commons,addr:place,addr:unit,level,addr:district,addr:subdistrict,inscription,addr:full
,,,Polygon,"77.2432932,28.6546582,77.2432785,28.6543998,77.2435521,28.6543896,77.2435667,28.6546479,77.2432932,28.6546582",way/80429815,,,,,yes,Mumtaz Mahal,,,,,,,,,,,,,Q16895550,en:Mumtaz Mahal (Red Fort),,,,,monument,,,,,Chhota Rang Mahal (small coloured palace),,,,,,,,,,,,marble,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2434592,28.6563407,77.2436789,28.6563337,77.2436937,28.6566024,77.243474,28.6566094,77.2434592,28.6563407",way/80429830,,,,,yes,Diwan-e-Khaas,,,,,,,,,,,,,Q16829867,,,,,,yes,,,,,,,,,Divan-i-Khas,,,,,,,,marble,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2419424,28.656891,77.2419296,28.6566903,77.2418298,28.6566952,77.2418179,28.6565071,77.2419177,28.6565023,77.2419044,28.6563102,77.2420768,28.6563017,77.242092,28.6565242,77.2421595,28.6565209,77.242167,28.6566393,77.2420995,28.6566426,77.2421148,28.6568826,77.2419424,28.656891",way/80429844,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2434515,28.6560506,77.2436594,28.6560414,77.2436614,28.6560773,77.2437003,28.6560749,77.2437391,28.656099,77.2437412,28.6561449,77.2437056,28.6561744,77.2436667,28.6561755,77.2436683,28.6562137,77.2434605,28.6562228,77.2434515,28.6560506",way/80429887,,,,,yes,Khas Mahal,,,,,,,,,,,,,Q16852143,,,,,,monument,,,,,,,,,,,,,,,,,marble,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2420579,28.6584871,77.2420451,28.6582864,77.2419453,28.6582913,77.2419334,28.6581032,77.2420332,28.6580983,77.2420199,28.6578898,77.2421923,28.6578813,77.2422075,28.6581203,77.242275,28.658117,77.2422825,28.6582354,77.242215,28.6582387,77.2422303,28.6584787,77.2420579,28.6584871",way/80429889,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2419995,28.6576801,77.2419859,28.6574784,77.2418833,28.6574837,77.2418712,28.6573028,77.2419724,28.6572976,77.2419584,28.6570989,77.2421312,28.65709,77.2421479,28.6573303,77.2422305,28.657326,77.2422372,28.6574256,77.2421573,28.6574297,77.2421735,28.6576711,77.2419995,28.6576801",way/80429891,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2409253,28.655928,77.2409174,28.6558016,77.2409087,28.6556573,77.2410591,28.6556502,77.241068,28.6557954,77.2410758,28.6559208,77.2409253,28.655928",way/80429900,,,,,yes,Naubat Khana,,,,,,,,,,,,,,,,,,16,monument,,,,,,,,,Naubat Khana (Drum House),,,,,,,,redstone,,medieval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2388234,28.6556722,77.2388346,28.6558997,77.2388452,28.6561139,77.2386272,28.6561199,77.2386161,28.6559082,77.2386053,28.6556782,77.2388234,28.6556722",way/80429907,,,,,yes,Lahori Gate,,,,,,,,,,,,,Q16931856,"en:Lahori Gate, Delhi",,,,,city_gate,,,,,,,,,,,,,,,,,redstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2434234,28.6559064,77.2433945,28.6554643,77.2436318,28.6554533,77.2436607,28.6558953,77.2434234,28.6559064",way/80429915,,,,,yes,Rang Mahal,,,,,,,,,,,,,Q16899120,,,,,,monument,,,,,,,,,Palace of Colours or Palace of Distinction,,,,,,,,marble,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2421533,28.6623132,77.2416795,28.662101,77.2416641,28.6621199,77.2416306,28.6621193,77.2416222,28.6620913,77.2416392,28.6620712,77.2413265,28.6617907,77.2413097,28.6617983,77.2412856,28.6617948,77.2412775,28.6617718,77.2412896,28.6617542,77.2409683,28.6614746,77.240952,28.6614832,77.2409258,28.6614797,77.2409183,28.6614613,77.240966,28.6612421,77.2439525,28.6593708,77.2439624,28.6593188,77.2440134,28.6592953,77.244067,28.6593106,77.2440879,28.6593511,77.2440751,28.6593993,77.244023,28.6594167,77.2440783,28.6597898,77.2439651,28.6607486,77.2439289,28.6614123,77.2437561,28.6617155,77.2435252,28.6622423,77.2423209,28.6623812,77.2422779,28.6624097,77.2422217,28.6624191,77.2421714,28.6624005,77.2421507,28.6623597,77.2421533,28.6623132",way/80431096,,,,,,Salimgarh Fort,,,,,,,,,,,attraction,,Q2336156,,,,,,fort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
