latitude,longitude,altitude,geometry,coordinates,@id,alt_name,amenity,bus,name,public_transport,shelter,barrier,short_name,network,operator,building,landuse,wheelchair,internet_access,addr:postcode,depot,addr:city,addr:housenumber,addr:street,name:hi,name:de,name:en
28.6986812,77.3061237,,Polygon,"77.3061237,28.6986812,77.3060497,28.6986761,77.3051306,28.6986138,77.3052784,28.6969367,77.3062716,28.6970041,77.3061237,28.6986812",way/605886399,,bus_station,yes,Nand Nagri Bus Depot,station,,,,,Delhi Transport Corporation,yes,,,,110093,bus,,,,,,
28.5225967,77.182421,,Polygon,"77.182421,28.5225967,77.1822864,28.5225219,77.1823642,28.5224158,77.1825144,28.5219115,77.1825707,28.5214657,77.1827397,28.5213688,77.1830374,28.5212265,77.183289,28.5212076,77.1836224,28.5212997,77.1837115,28.5217294,77.182421,28.5225967",way/632926871,,bus_station,yes,Mehrauli Bus Terminal,station,,,,Delhi Public Transport,Delhi Transport Corporation,,,,,,,,,,,,
28.5238157,77.191709,,Polygon,"77.191709,28.5238157,77.1918404,28.5238204,77.1918377,28.5240726,77.1913522,28.5241197,77.1908024,28.5240914,77.1908426,28.5239665,77.1906334,28.5236814,77.1908507,28.523474,77.1909043,28.5235895,77.1914676,28.5234269,77.1913978,28.5232454,77.1914864,28.5232242,77.1916097,28.523269,77.1915668,28.5233609,77.191709,28.5238157",way/632926885,,bus_station,yes,Lado Sarai Bus Terminal,station,,,,,Delhi Transport Corporation,,,,,,,,,,,,
28.5786286,77.2464689,,Polygon,"77.2464689,28.5786286,77.245941,28.5786333,77.245945,28.5785511,77.2459526,28.5783932,77.245956,28.5783227,77.246595,28.578346,77.2465861,28.5785852,77.2464689,28.5786286",way/653235648,,bus_station,yes,Jal Vihar Terminal,station,,wall,,,,,,,,,,,,,,,
28.6741367,77.2868203,,Polygon,"77.2868203,28.6741367,77.2868317,28.6740891,77.286776,28.6740768,77.2867935,28.6740097,77.2868605,28.6737273,77.2871663,28.673805,77.2874452,28.6738756,77.2874345,28.6739321,77.2876437,28.6739532,77.2876303,28.6740121,77.2877215,28.674038,77.2877081,28.6741086,77.2876222,28.6743298,77.2868203,28.6741367",way/683662846,,bus_station,yes,Shahdara Bus Station,station,,,,Delhi Public Transport,Delhi Transport Corporation,,,,,110032,,Shahdara,Shahdar Bus Terminal,GT Road,,,
28.5796637,77.2134862,,Point,,node/1665799172,,bus_station,yes,Safdarjung Terminal,station,,,,,,,,,,,,,,,,,
28.6086972,77.2302094,,Point,,node/4700705789,,bus_station,yes,Bikaner Bus Depot,station,,,,,,,,,,,,,,,Bikaner Bus Depot,,
28.5903554,77.2598548,,Point,,node/4879647926,,bus_station,yes,Shri Maruti travels,station,,,,,,,,,,,,,,,,Shri Maruti travels,Shri Maruti travels
28.4941138,77.3022635,,Point,,node/5608721585,,bus_station,yes,Badarpur Border,station,,,,Delhi Public Transport,Delhi Transport Corporation,,,,,,,,,,,,
28.6233298,77.2184168,,Point,,node/5690505425,,bus_station,yes,Western Court Bus Terminus,station,,,,,,,,,,,,,,,,,
